# Tortue: Boule;;;;;;;;Environnement;;;;Com1ortements individuels;;;;;;
Date;Observateur;Lieu;Météo;État mer;Visibilité;T° eau;Heure;Environnement;Verticale;Nature fond;Respiration;Alimentation;Locomo5io1;Élimination;Attaque/Défense;1;Commentaires;NB données
15.10.2015;B;1;1;1;1;19,8;16:19:00;7;1;;;;1;;;;;
15.10.2015;B;1;1;1;1;19,8;16:21:00;479741;;;;;1;;;;;
15.10.2015;B;1;1;1;1;19,8;16:23:00;1;;;;;3;;;;;
15.10.2015;B;1;1;1;1;19,8;16:30:00;1;;;;;3;;;;;
15.10.2015;B;1;1;1;1;19,8;16:32:00;1;;;;;1;;;;;
15.10.2015;B;1;1;1;1;19,8;16:36:00;14;;;1;;;;2;;;
15.10.2015;B;1;1;1;1;19,8;16:46:00;4;;;1;;3;;;;;
15.10.2015;B;1;1;1;1;19,8;16:48:00;5;;;1;;;;;;;
15.10.2015;B;1;1;1;1;19,8;16:54:00;1;;;1;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:00:00;1;;;1;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:02:00;4;;;1;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:07:00;1;;;;;1;;;;;
15.10.2015;B;1;1;1;1;19,8;17:08:00;PAUSE;;;;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:13:00;5;;;1;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:15:00;54;;;111;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:17:00;5;;;1;;;;;;;
15.10.2015;B;1;1;1;1;19,8;17:22:00;2;;;1;;;;;;;
